datetime,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote
2021-07-17 15:00:00,1880.74,1887.97,1870.8,1885.86,139492.113,262024777.23734,112774,72506.608,136223892.33914
2021-07-17 16:00:00,1885.88,1918.0,1880.0,1899.11,244876.7,465196146.32927,197355,127599.31,242419588.33393
2021-07-17 17:00:00,1899.11,1903.6,1879.07,1893.41,123000.522,232482629.6317,117264,63952.823,120897349.73197
2021-07-17 18:00:00,1893.4,1911.58,1887.8,1902.45,107334.683,204212083.87359,106708,55036.499,104702184.55886
2021-07-17 19:00:00,1902.46,1919.0,1897.31,1907.47,89726.149,171265909.77988,102757,47431.248,90553793.29715
2021-07-17 20:00:00,1907.46,1914.65,1896.07,1897.23,64545.466,122966771.91893,78418,28879.104,55026107.27762
2021-07-17 21:00:00,1897.32,1915.0,1891.29,1908.73,73402.938,139743916.89122,87843,38971.034,74207301.4497
2021-07-17 22:00:00,1908.72,1908.72,1895.0,1898.29,57562.498,109376907.02061,71962,27360.583,51989229.6234
2021-07-17 23:00:00,1898.29,1901.89,1887.6,1898.55,76485.872,144929816.51308,83453,38412.167,72805056.00251
2021-07-18 00:00:00,1898.55,1989.27,1896.16,1970.17,346941.917,674336809.78745,266378,195402.77,379579385.47585
2021-07-18 01:00:00,1970.17,1986.09,1960.0,1977.27,238064.254,470244124.442,193379,114201.313,225656781.58961
2021-07-18 02:00:00,1977.27,1994.26,1970.58,1982.49,128923.262,255483083.48498,121196,67105.193,133007526.1968
2021-07-18 03:00:00,1982.43,1987.6,1972.0,1980.99,89356.641,176783303.89348,92952,44054.129,87169103.77449
2021-07-18 04:00:00,1981.0,1990.0,1972.16,1976.27,109890.763,217483828.49418,98298,56937.921,112707294.84888
2021-07-18 05:00:00,1976.26,1983.33,1973.69,1976.38,74179.309,146711382.94334,77527,35538.596,70296326.3131
2021-07-18 06:00:00,1976.38,1981.0,1953.1,1957.99,170172.893,334129928.24742,143474,78133.236,153417010.17505
2021-07-18 07:00:00,1957.99,1970.0,1953.0,1958.54,123458.108,241829957.00292,115412,65921.212,129145622.51118
2021-07-18 08:00:00,1958.38,1974.2,1956.41,1967.9,137346.194,269923614.30858,118118,71868.682,141255546.22043
2021-07-18 09:00:00,1967.89,1973.3,1960.81,1961.73,76338.191,150071825.66297,86154,36993.933,72731208.54051
2021-07-18 10:00:00,1961.73,1967.72,1950.0,1961.82,103562.042,202816825.80931,109453,51331.911,100541848.91907
2021-07-18 11:00:00,1961.82,1969.74,1958.03,1965.56,69332.76,136170493.10509,80632,37941.499,74528027.27604
2021-07-18 12:00:00,1965.4,1973.38,1956.38,1960.08,102155.796,200623783.44014,98510,49533.271,97296028.05967
2021-07-18 13:00:00,1960.08,1962.4,1941.0,1947.26,116635.568,227507681.21714,114829,50094.455,97740313.62648
2021-07-18 14:00:00,1947.26,1957.97,1898.97,1908.12,315257.043,606551108.11846,238911,144880.741,278795322.18423
2021-07-18 15:00:00,1908.11,1911.89,1879.04,1889.65,249259.37,473737948.60762,199854,117071.412,222612137.06359
2021-07-18 16:00:00,1889.64,1901.47,1875.0,1894.95,207048.97,391278802.83772,159826,106754.556,201776520.54431
2021-07-18 17:00:00,1894.83,1910.0,1889.14,1901.1,103297.892,196225596.0178,99602,54999.709,104497555.20514
2021-07-18 18:00:00,1901.11,1907.88,1897.02,1898.69,84697.403,161198713.44648,79311,39514.839,75220097.51038
2021-07-18 19:00:00,1898.7,1908.1,1898.01,1900.48,49309.345,93776134.77372,63477,25331.709,48182954.12952
2021-07-18 20:00:00,1900.48,1904.42,1892.75,1893.07,81403.551,154560055.69478,77148,40730.175,77336964.02883
2021-07-18 21:00:00,1893.08,1916.61,1889.37,1912.45,91574.92,174172205.2946,96174,50151.999,95439266.73861
2021-07-18 22:00:00,1912.45,1928.0,1880.55,1886.99,181290.547,344449907.26309,162918,85900.678,163294761.25814
2021-07-18 23:00:00,1886.99,1904.79,1880.06,1890.66,100637.884,190272924.0121,106516,50899.589,96234938.26414
2021-07-19 00:00:00,1890.8,1907.36,1880.7,1884.02,124335.129,235278639.90485,122091,58421.582,110574663.51309
2021-07-19 01:00:00,1884.02,1887.3,1864.02,1881.21,158103.24,296328568.81803,139378,77300.384,144917340.18717
2021-07-19 02:00:00,1881.21,1888.0,1871.16,1877.62,90163.91,169600141.2683,89980,41972.972,78966642.63145
2021-07-19 03:00:00,1877.61,1893.78,1875.0,1884.79,83798.052,157898031.96559,82285,45682.867,86087935.59504
2021-07-19 04:00:00,1884.8,1899.0,1880.11,1897.53,90545.617,171142088.97067,85915,49894.176,94330464.20318
2021-07-19 05:00:00,1897.53,1915.0,1890.0,1907.39,150695.476,286617697.37903,127938,80446.204,153070370.04548
2021-07-19 06:00:00,1907.35,1913.14,1897.5,1904.36,89501.106,170375099.58089,96230,44017.77,83807063.44389
2021-07-19 07:00:00,1904.35,1917.82,1887.21,1890.82,150765.747,286431402.53567,137116,69768.448,132580880.69444
2021-07-19 08:00:00,1890.93,1900.0,1874.05,1875.0,126776.14,239488342.2567,121102,58152.243,109932422.48986
2021-07-19 09:00:00,1875.01,1883.66,1865.61,1870.94,156581.032,293587814.51854,137834,79689.829,149450631.64532
2021-07-19 10:00:00,1870.95,1876.7,1855.0,1857.18,157550.345,293862662.26113,142173,71250.239,132950971.19055
2021-07-19 11:00:00,1857.18,1874.99,1854.61,1861.66,128944.26,240537402.30821,128551,69150.744,129011077.99465
2021-07-19 12:00:00,1861.78,1867.88,1801.0,1812.55,494914.697,904497538.72281,369101,217303.484,397036334.87497
